"GeneID","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
146556,422.552781521078,-4.98499340044091,0.286349020765718,-17.4088019826667,7.07489763036747e-68,1.07058923142194e-64
284723,393.449464973345,-3.80488639038837,0.221332790434755,-17.1907939303282,3.11240934655664e-66,4.4618845148163e-63
25840,4078.29431543286,-2.35046799728708,0.13714572665664,-17.1384705494452,7.66402040653162e-66,1.04376293916554e-62
221476,731.492683355414,-6.3214096498848,0.370468841337193,-17.0632694157704,2.78521301512983e-65,3.61255390981459e-62
145270,217.075937075107,-5.44883819345956,0.320460374311074,-17.003157426791,7.78135030071529e-65,9.63401906776741e-62
2167,423.220138546479,-4.72723823928044,0.282268882208632,-16.7472879131835,5.92673081839504e-63,6.7263455846435e-60
8839,444.906022290135,-5.98310437074355,0.357206590907625,-16.7497031774836,5.69095188335322e-63,6.7263455846435e-60
983,1028.05955221834,1.86542839170517,0.112363807382335,16.6016837197209,6.77631353292767e-62,7.38292912039535e-59
55532,453.060461025159,-5.9807062263225,0.363054572896757,-16.4732981562616,5.7072129576174e-61,5.97896409767626e-58
9319,405.122939133422,2.56698611578976,0.15593820746659,16.4615597260841,6.92917137324264e-61,6.99025073571789e-58
1001,1226.71695907666,4.88390996410437,0.300163558480729,16.2708291067182,1.58990310591587e-59,1.54663502853344e-56
2949,204.518498819547,-3.16455330111845,0.195412071949043,-16.1942569338483,5.53624365860696e-59,5.19986913010815e-56
28231,1554.42710295,2.90079783015881,0.179163378571938,16.1907966532015,5.85654016831193e-59,5.31734803681601e-56
4969,476.518321404137,-5.31363804827004,0.331261881303335,-16.0405961210018,6.65128368163208e-58,5.84411822323531e-55
201140,41.8517486875923,-6.25094477205866,0.391082662029491,-15.9836918865692,1.66015371651676e-57,1.41310209157761e-54
84417,92.8068214455794,-5.45332095008333,0.341641929098741,-15.9620950638855,2.34718242703432e-57,1.93735014992609e-54
11170,525.046787034646,-3.48460010986701,0.218392278891064,-15.9556927907931,2.6007163369733e-57,2.08347975254349e-54
730,1017.61462133521,-5.14734196246198,0.324357567896951,-15.8693444270038,1.0331435968127e-56,8.0402186542812e-54
2651,206.70380825693,-3.5912890417482,0.227011804358893,-15.8198339152028,2.27090915051114e-56,1.71819509560063e-53
101927969,57.8475270636481,-3.09447939394208,0.198777379980904,-15.5675630408216,1.20927395226459e-54,8.90221727345486e-52
443,95.6179659192957,-4.22833802638685,0.272214142140336,-15.5331313543842,2.0701914288477e-54,1.48389142470931e-51
11335,5097.61286052861,1.40240774725679,0.0908683831306259,15.4333960717755,9.75966056849258e-54,6.81624704011797e-51
4314,1359.71561437975,5.45557638471672,0.35435364549018,15.3958522909225,1.7450990479613e-53,1.18832519670925e-50
5697,14076.4102710506,-7.46994448108674,0.485309120199546,-15.3921370321977,1.84825756316976e-53,1.22787413428337e-50
51330,1857.36360848081,3.44104349469726,0.224709344124767,15.3133084345022,6.23119908768342e-53,4.04108097024574e-50
6493,245.853796254287,4.88734602235192,0.319731664330678,15.2857741900009,9.51257602537203e-53,6.02566385532752e-50
6750,991.668556548265,-6.8417258219916,0.448548835980072,-15.2530232456016,1.57183497354467e-52,9.730372956684e-50
2981,4338.40911152702,-7.14161266296839,0.468721030712317,-15.2363819735489,2.02793364406828e-52,1.22748570215848e-49
10231,494.925010409765,-2.39485381198723,0.157460025860623,-15.209281205803,3.06894242979792e-52,1.81721421527904e-49
7704,997.438463730239,-3.56121340886236,0.234205069508842,-15.2055351164289,3.24964439843036e-52,1.88327264094566e-49
100127888,314.411418476394,2.98021305370206,0.196075489167577,15.199314643326,3.57340012776628e-52,2.02775568083538e-49
137872,68.5816811583211,-2.74954543658542,0.181181424396069,-15.175647535339,5.12692680605321e-52,2.84994351720974e-49
1503,691.276841419704,2.17172629587365,0.143135657084345,15.1725037639917,5.37853299496467e-52,2.93000963433695e-49
3651,393.739148137502,4.24723693250091,0.281549467455869,15.0852245286759,2.02584315366214e-51,1.06827822692197e-48
5023,325.138660253746,-2.52814707753439,0.167595855724824,-15.0847827746132,2.03944738233139e-51,1.06827822692197e-48
3624,545.45961203917,4.84314732673961,0.321270425853647,15.0749864817805,2.36564303321161e-51,1.21576197997392e-48
253152,130.252119632506,4.73583771498734,0.314979923037366,15.0353637442013,4.30676155847851e-51,2.17236243203403e-48
2788,648.08311697243,-2.81382928496771,0.187209730456364,-15.030358080792,4.64488113761733e-51,2.30031404411674e-48
55165,659.424975063823,2.17444275369456,0.144694466488345,15.0278224625108,4.82611149942294e-51,2.34738616109432e-48
287,358.68496684871,-3.06575201845275,0.204732137269739,-14.9744542275429,1.07849541079696e-50,5.15369438583994e-48
79785,73.0819079392645,-6.30799689707692,0.421803821685648,-14.9548121016741,1.44890085913284e-50,6.80433820707936e-48
